Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,16,56,16,20
5.5,0,0,0,0,8,128,8,32
6.0,0,0,0,0,4,376,8,60
6.5,1,0,0,0,12,968,8,96
7.0,1,0,0,0,40,2096,24,192
7.5,1,0,0,0,68,2840,44,296
8.0,1,1,0,0,96,3148,92,184
8.5,1,1,0,0,192,3528,152,144
9.0,1,0,0,0,208,5600,144,120
9.5,1,0,0,0,276,1508,96,136
10.0,1,0,0,0,388,616,132,124
10.5,0,0,0,0,448,464,120,152
11.0,0,0,0,0,432,288,144,88
11.5,1,0,1,0,496,308,160,96
12.0,0,0,0,0,616,380,104,96
12.5,0,0,0,0,340,636,124,104
13.0,0,0,0,0,400,560,116,88
13.5,0,0,0,0,360,504,132,144
14.0,0,0,0,0,428,360,120,100
14.5,0,0,0,0,492,440,128,96
15.0,0,0,0,0,620,376,192,72
15.5,0,0,0,0,576,376,144,84
16.0,0,0,0,0,824,284,184,88
16.5,0,1,0,0,732,232,184,80
17.0,1,1,0,0,2392,144,256,80
17.5,0,1,0,0,2244,120,168,56
18.0,1,1,0,0,2016,84,100,56
18.5,1,1,0,0,2216,68,128,28
19.0,0,1,0,0,1636,64,112,36
19.5,0,1,0,0,1320,56,88,12
20.0,0,1,0,0,1108,20,96,24
20.5,0,1,0,0,928,32,72,12
21.0,0,1,0,0,804,28,72,28
21.5,0,1,0,0,648,20,56,16
22.0,0,0,0,0,592,16,64,8
22.5,0,0,0,0,424,8,40,8
23.0,0,0,0,0,428,12,24,4
23.5,0,0,0,0,416,8,56,8
24.0,0,0,0,0,152,8,4,8
24.5,-,-,-,-,0,4,0,4
