Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,126,77,388,228
5.5,0,0,0,0,232,191,506,432
6.0,0,0,0,0,357,371,516,588
6.5,1,0,0,0,767,686,824,766
7.0,1,0,0,0,1302,1062,1212,1090
7.5,1,0,0,0,2189,1653,1504,1472
8.0,1,1,0,0,3287,2324,1944,1764
8.5,1,1,0,0,2411,2433,1712,1848
9.0,1,0,0,0,1856,1802,1978,2456
9.5,1,0,0,0,1082,1232,1776,2702
10.0,1,0,0,0,700,792,1980,2580
10.5,0,0,0,0,553,865,2302,3268
11.0,0,0,0,0,517,745,2320,3196
11.5,0,0,0,0,550,726,2264,3210
12.0,0,0,0,0,750,838,2304,2976
12.5,0,0,0,0,797,882,2422,2990
13.0,0,0,0,0,693,708,2272,2932
13.5,0,0,0,0,603,631,2458,2884
14.0,0,0,0,0,627,648,2564,2562
14.5,0,0,0,0,641,689,2800,2882
15.0,0,0,0,0,704,720,3076,2824
15.5,0,0,0,0,757,820,3068,3280
16.0,0,0,0,0,869,880,3496,3164
16.5,0,1,0,0,932,1116,3326,3796
17.0,0,1,0,0,1189,1381,3200,3476
17.5,0,1,0,0,1505,2082,2910,3218
18.0,1,1,0,0,1704,2413,2852,2652
18.5,1,1,0,0,1528,2234,2622,2352
19.0,0,1,0,0,1388,1709,2454,1804
19.5,0,1,0,0,1178,1357,2168,1656
20.0,0,1,0,0,1094,1052,2376,1796
20.5,0,0,0,0,1020,878,3344,2354
21.0,0,0,0,0,1056,818,2560,2064
21.5,0,0,0,0,865,782,2218,1798
22.0,0,0,0,0,818,636,2050,1400
22.5,0,0,0,0,675,477,1744,1244
23.0,0,0,0,0,624,349,1468,812
23.5,0,0,0,0,512,230,1280,552
24.0,0,0,0,0,139,77,380,208
24.5,-,-,-,-,0,0,0,0
