Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,60,120,96,64
5.5,0,0,0,0,104,332,88,136
6.0,0,0,0,0,164,600,100,224
6.5,1,0,0,0,300,1196,152,324
7.0,1,0,0,0,552,1840,216,448
7.5,1,1,0,0,1004,3276,256,628
8.0,1,1,0,0,1716,5232,400,1000
8.5,1,1,0,0,1304,6740,400,1980
9.0,1,1,0,0,1112,5340,476,2560
9.5,1,0,0,0,920,4780,608,3684
10.0,0,0,0,0,944,2960,768,3344
10.5,0,0,0,0,932,3340,984,4052
11.0,0,0,0,0,1080,2688,1148,3216
11.5,0,0,0,0,1148,2616,1296,3564
12.0,0,0,0,0,1512,2196,1628,2640
12.5,0,0,0,0,1660,2520,1600,2920
13.0,0,0,0,0,1680,1988,1712,2552
13.5,0,0,0,0,1644,1960,1824,2812
14.0,0,0,0,0,1808,1736,2208,2216
14.5,0,0,0,0,1808,1908,2216,2616
15.0,0,0,0,0,2060,1684,2544,2192
15.5,0,0,0,0,2108,1944,2544,2448
16.0,0,1,0,0,2572,1840,2656,2016
16.5,0,1,0,0,2816,2184,2784,2556
17.0,0,1,0,0,3624,2164,2940,1904
17.5,0,1,0,0,4208,2960,2568,2328
18.0,1,1,0,0,5016,3568,2504,1488
18.5,1,1,0,0,4492,3328,2528,1312
19.0,0,1,0,0,4236,2136,2736,912
19.5,0,1,0,0,3616,1344,2340,744
20.0,0,1,0,0,3548,920,2424,636
20.5,0,0,0,0,2896,724,1976,796
21.0,0,0,0,0,2848,756,1792,740
21.5,0,0,0,0,2276,716,1264,664
22.0,0,0,0,0,2040,604,1244,424
22.5,0,0,0,0,1552,376,840,444
23.0,0,0,0,0,1344,276,752,256
23.5,0,0,0,0,996,116,520,132
24.0,0,0,0,0,320,40,192,56
24.5,-,-,-,-,0,0,0,0
