Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,102,84,160,100
5.5,0,0,0,0,178,238,204,224
6.0,0,0,0,0,276,452,272,232
6.5,1,0,0,0,592,862,444,416
7.0,1,0,0,0,880,1534,592,740
7.5,1,1,0,0,1322,2772,808,988
8.0,1,1,0,0,2140,4362,1220,856
8.5,1,1,0,0,1578,4412,1140,1136
9.0,1,0,0,0,1406,2738,1380,1184
9.5,0,0,0,0,978,2254,1288,1236
10.0,0,0,0,0,866,1142,1608,948
10.5,0,0,0,0,794,948,1416,1248
11.0,0,0,0,0,790,786,1632,1068
11.5,0,0,0,0,750,724,1408,1304
12.0,0,0,0,0,1022,768,1568,1240
12.5,0,0,0,0,870,988,1324,1536
13.0,0,0,0,0,850,786,1276,1128
13.5,0,0,0,0,720,808,1272,1168
14.0,0,0,0,0,858,630,1320,968
14.5,0,0,0,0,814,724,1228,1260
15.0,0,0,0,0,908,728,1392,1192
15.5,0,0,0,0,860,794,1424,1304
16.0,0,0,0,0,1250,720,1504,1344
16.5,0,1,0,0,1374,872,1424,1376
17.0,0,1,0,0,2308,916,1496,1388
17.5,0,1,0,0,2920,1372,1228,1396
18.0,1,1,0,0,2804,1392,1112,1384
18.5,1,1,0,0,2268,1436,912,1272
19.0,0,1,0,0,1890,1040,808,1052
19.5,0,1,0,0,1442,892,788,924
20.0,0,1,0,0,1216,826,868,904
20.5,0,0,0,0,976,710,780,1312
21.0,0,0,0,0,894,784,744,1232
21.5,0,0,0,0,722,624,684,1232
22.0,0,0,0,0,670,702,580,1084
22.5,0,0,0,0,500,494,568,792
23.0,0,0,0,0,504,414,480,596
23.5,0,0,0,0,330,282,368,344
24.0,0,0,0,0,82,198,136,376
24.5,-,-,-,-,0,4,0,4
