Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,133,48,328,160
5.5,0,0,0,0,292,118,640,320
6.0,1,0,0,0,440,182,808,352
6.5,1,0,0,0,854,494,1224,488
7.0,1,0,0,0,1475,760,1904,800
7.5,1,1,0,0,2387,1049,2408,1176
8.0,1,1,0,0,3537,1660,2552,1280
8.5,1,1,0,0,3117,1183,3008,1404
9.0,1,0,0,0,2310,795,3208,1272
9.5,0,0,0,0,1330,610,3156,1416
10.0,0,0,0,0,861,418,2948,1156
10.5,0,0,0,0,720,442,3344,1776
11.0,0,0,0,0,603,384,3152,1632
11.5,0,0,0,0,603,448,3024,2144
12.0,0,0,0,0,764,584,3312,2340
12.5,0,0,0,0,769,634,3220,2616
13.0,0,0,0,0,666,547,3096,2224
13.5,0,0,0,0,569,494,3008,2280
14.0,0,0,0,0,547,471,3184,2072
14.5,0,0,0,0,514,534,2956,2272
15.0,0,0,0,0,519,590,2864,2352
15.5,0,0,0,0,550,624,2752,2992
16.0,0,0,0,0,640,742,2888,3044
16.5,0,1,0,0,700,1010,2568,3912
17.0,0,1,0,0,875,1278,2644,3944
17.5,0,1,0,0,1111,1669,2256,4352
18.0,0,1,0,0,1213,2209,2088,3616
18.5,0,1,0,0,1018,1927,1944,3504
19.0,0,1,0,0,843,1801,1828,3088
19.5,0,1,0,0,699,1448,1576,2568
20.0,0,1,0,0,643,1310,1584,2444
20.5,0,0,0,0,517,1095,1480,3032
21.0,0,0,0,0,503,1037,1536,2808
21.5,0,0,0,0,467,1043,1688,2592
22.0,0,0,0,0,508,854,1704,2144
22.5,0,0,0,0,389,700,1152,1892
23.0,0,0,0,0,318,517,1008,1436
23.5,0,0,0,0,229,411,688,968
24.0,0,0,0,0,62,187,176,708
24.5,-,-,-,-,0,0,0,0
