Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,93,97,232,260
5.5,0,0,0,0,123,292,252,656
6.0,0,0,0,0,228,458,412,994
6.5,0,0,0,0,414,1002,624,1192
7.0,0,0,0,0,808,1864,1216,1898
7.5,0,1,0,0,1265,3043,1404,2656
8.0,0,1,0,0,1644,5381,1520,4006
8.5,0,1,0,0,1178,6407,1544,3760
9.0,0,0,0,0,1003,3730,1972,3620
9.5,0,0,0,0,671,2354,1920,3460
10.0,0,0,0,0,614,1299,2008,3916
10.5,0,0,0,0,544,948,2034,4840
11.0,0,0,0,0,571,776,2316,5028
11.5,0,0,0,0,632,787,2270,4936
12.0,0,0,0,0,818,847,2468,4300
12.5,0,0,0,0,680,1166,2404,3344
13.0,0,0,0,0,649,1000,2400,3402
13.5,0,0,0,0,597,886,2386,3768
14.0,0,0,0,0,667,733,2504,4048
14.5,0,0,0,0,669,779,2656,4102
15.0,0,0,0,0,977,707,3284,4108
15.5,0,0,0,0,911,817,4240,4392
16.0,0,0,0,0,1291,770,4752,4026
16.5,0,1,0,0,1448,938,4236,4178
17.0,0,1,0,0,2190,894,4388,3156
17.5,0,1,0,0,3297,1158,4268,2904
18.0,0,1,0,0,4087,1081,4188,2696
18.5,0,1,0,0,3201,1082,3368,2258
19.0,0,1,0,0,2706,951,3070,1680
19.5,0,1,0,0,2139,798,3306,1704
20.0,0,1,0,0,1904,679,4788,1564
20.5,0,0,0,0,1598,604,6406,1324
21.0,0,0,0,0,1824,533,5294,1296
21.5,0,0,0,0,1417,503,3676,1450
22.0,0,0,0,0,1295,483,3156,1278
22.5,0,0,0,0,929,390,2432,1060
23.0,0,0,0,0,655,341,1588,822
23.5,0,0,0,0,285,266,612,792
24.0,0,0,0,0,27,245,84,624
24.5,-,-,-,-,1,27,4,60
