Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,360,48,224,16
5.5,0,0,0,0,428,232,252,160
6.0,0,0,0,0,628,712,336,216
6.5,0,0,0,0,1276,1128,352,592
7.0,0,0,0,0,2212,1980,640,1440
7.5,0,0,0,0,3344,2696,864,1412
8.0,0,0,0,0,4240,4060,944,1192
8.5,0,0,0,0,3148,3060,1080,748
9.0,0,0,0,0,2388,1536,1176,824
9.5,0,0,0,0,1224,1164,1104,536
10.0,0,0,0,0,1012,780,1136,464
10.5,0,0,0,0,748,628,1056,468
11.0,0,0,0,0,752,520,1028,380
11.5,0,0,0,0,756,428,968,456
12.0,0,0,0,0,896,660,1104,556
12.5,0,0,0,0,688,744,1028,700
13.0,0,0,0,0,668,704,996,576
13.5,0,0,0,0,584,616,840,552
14.0,0,0,0,0,600,592,920,672
14.5,0,0,0,0,692,584,1016,536
15.0,0,0,0,0,824,600,1176,692
15.5,0,0,0,0,716,652,1016,592
16.0,0,0,0,0,1116,760,1036,780
16.5,0,0,0,0,1300,992,1208,764
17.0,0,0,0,0,2396,1180,1404,840
17.5,0,0,0,0,2752,1488,976,768
18.0,0,0,0,0,2864,1900,1316,752
18.5,0,0,0,0,2092,1876,868,768
19.0,0,0,0,0,1660,1748,476,704
19.5,0,0,0,0,1292,1544,400,712
20.0,0,0,0,0,1056,1324,400,732
20.5,0,0,0,0,760,1204,252,680
21.0,0,0,0,0,668,1124,264,696
21.5,0,0,0,0,424,1268,256,700
22.0,0,0,0,0,308,1032,216,848
22.5,0,0,0,0,260,1028,136,648
23.0,0,0,0,0,256,780,112,500
23.5,0,0,0,0,148,760,64,500
24.0,0,0,0,0,16,524,4,332
24.5,-,-,-,-,0,192,0,104
