Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5,0,-,0,-,93,25,268,80
5.5,0,-,0,-,165,319,368,824
6,0,-,0,-,379,638,660,1488
6.5,0,-,0,-,983,1282,1024,2328
7,0,-,0,-,1586,1723,1912,3560
7.5,0,-,0,-,2558,2220,1896,3800
8,0,-,0,-,3581,2468,2608,4232
8.5,0,-,0,-,2066,1849,2480,4192
9,0,-,0,-,1700,1144,2624,3204
9.5,0,-,0,-,1068,984,2764,3608
10,0,-,0,-,824,841,2408,3368
10.5,0,-,0,-,642,661,2984,3376
11,0,-,0,-,576,619,2696,3236
11.5,0,-,0,-,624,573,2576,3196
12,0,-,0,-,739,645,2588,2728
12.5,0,-,0,-,656,620,2584,2736
13,0,-,0,-,564,679,2480,3336
13.5,0,-,0,-,540,562,2112,2896
14,0,-,0,-,515,502,2528,3352
14.5,0,-,0,-,547,523,2632,3112
15,0,-,0,-,622,589,2840,3048
15.5,0,-,0,-,729,648,3172,2912
16,0,-,0,-,865,792,3792,2648
16.5,0,-,0,-,927,863,3840,3216
17,0,-,0,-,1160,932,3008,2544
17.5,0,-,0,-,1779,1572,4432,2528
18,0,-,0,-,1659,1706,3576,2312
18.5,0,-,0,-,1451,1716,2928,2100
19,0,-,0,-,1092,1428,2408,1820
19.5,0,-,0,-,903,1235,2472,1760
20,0,-,0,-,825,1071,2468,1936
20.5,0,-,0,-,882,973,3416,2200
21,0,-,0,-,1219,881,4088,2016
21.5,0,-,0,-,1376,777,4836,2184
22,0,-,0,-,1077,799,4480,2144
22.5,0,-,0,-,437,616,3224,1584
23,0,-,0,-,286,400,1440,1104
23.5,0,-,0,-,110,330,528,676
24,0,-,0,-,1,192,0,652
24.5,-,-,-,-,1,67,8,152
