圏域,カード種別,【入場】圏域,【入場】事業者名,【入場】路線名,【入場】駅名,【入場】都道府県,【入場】市町村区,【入場】時間帯,【出場】圏域,【出場】事業者名,【出場】路線名,【出場】駅名,【出場】都道府県,【出場】市町村区,所要時間（５分単位）,人数
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,有楽町,東京都,千代田区,14,1.首都圏,東京地下鉄,半蔵門線,半蔵門,東京都,千代田区,15,2
1.首都圏,Suica,1.首都圏,東京地下鉄,半蔵門線,半蔵門,東京都,千代田区,15,1.首都圏,東京地下鉄,日比谷線,南千住,東京都,荒川区,55,1
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,西船橋,千葉県,船橋市,19,1.首都圏,東京地下鉄,東西線,東陽町,東京都,江東区,25,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,銀座一丁目,東京都,中央区,14,1.首都圏,東京地下鉄,有楽町線,東池袋,東京都,豊島区,30,2
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,大手町,東京都,千代田区,9,1.首都圏,東京地下鉄,東西線,早稲田,東京都,新宿区,40,3
1.首都圏,pasmo,1.首都圏,東京地下鉄,副都心線,北参道,東京都,渋谷区,23,1.首都圏,東京地下鉄,日比谷線,中目黒,東京都,目黒区,20,1
1.首都圏,manaca,1.首都圏,東京地下鉄,日比谷線,神谷町,東京都,港区,18,1.首都圏,東京地下鉄,日比谷線,六本木,東京都,港区,10,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,桜田門,東京都,千代田区,7,1.首都圏,東京地下鉄,有楽町線,有楽町,東京都,千代田区,5,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,平和台,東京都,練馬区,11,1.首都圏,東京地下鉄,南北線,麻布十番,東京都,港区,50,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,四ツ谷,東京都,新宿区,12,1.首都圏,東京地下鉄,丸ノ内線（１）,霞ケ関,東京都,千代田区,10,6
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,東陽町,東京都,江東区,19,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,25,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,千代田線,町屋,東京都,荒川区,7,1.首都圏,東京地下鉄,日比谷線,日比谷,東京都,千代田区,30,1
1.首都圏,Suica,1.首都圏,東京地下鉄,千代田線,湯島,東京都,文京区,10,1.首都圏,東京地下鉄,日比谷線,六本木,東京都,港区,0,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,外苑前,東京都,港区,23,1.首都圏,東京地下鉄,銀座線,上野,東京都,台東区,25,1
1.首都圏,Suica,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿,東京都,新宿区,13,1.首都圏,東京地下鉄,丸ノ内線（２）,中野新橋,東京都,中野区,25,3
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,新橋,東京都,港区,13,1.首都圏,東京地下鉄,東西線,南行徳,千葉県,市川市,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,江戸川橋,東京都,文京区,11,1.首都圏,東京地下鉄,有楽町線,和光市,埼玉県,和光市,50,1
1.首都圏,Suica,1.首都圏,東京地下鉄,南北線,六本木一丁目,東京都,港区,23,1.首都圏,東京地下鉄,南北線,赤羽岩淵,東京都,北区,45,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,丸ノ内線（１）,大手町,東京都,千代田区,15,1.首都圏,東京地下鉄,東西線,南砂町,東京都,江東区,25,9
1.首都圏,pasmo,1.首都圏,東京地下鉄,南北線,志茂,東京都,北区,18,1.首都圏,東京地下鉄,丸ノ内線（１）,南阿佐ケ谷,東京都,杉並区,55,1
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,葛西,東京都,江戸川区,23,1.首都圏,東京地下鉄,東西線,西船橋,千葉県,船橋市,25,6
1.首都圏,pasmo,1.首都圏,東京地下鉄,千代田線,西日暮里,東京都,荒川区,16,1.首都圏,東京地下鉄,銀座線,銀座,東京都,中央区,0,1
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,西船橋,千葉県,船橋市,7,1.首都圏,東京地下鉄,銀座線,渋谷,東京都,渋谷区,60,5
1.首都圏,pasmo,1.首都圏,東京地下鉄,千代田線,赤坂,東京都,港区,11,1.首都圏,東京地下鉄,日比谷線,北千住,東京都,足立区,0,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,有楽町線,和光市,埼玉県,和光市,10,1.首都圏,東京地下鉄,有楽町線,氷川台,東京都,練馬区,0,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,副都心線,西早稲田,東京都,新宿区,22,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,10,3
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,広尾,東京都,港区,11,1.首都圏,東京地下鉄,丸ノ内線（２）,中野新橋,東京都,中野区,45,1
1.首都圏,ICOCA,1.首都圏,東京地下鉄,副都心線,東新宿,東京都,新宿区,16,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿三丁目,東京都,新宿区,10,1
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,青山一丁目,東京都,港区,14,1.首都圏,東京地下鉄,銀座線,三越前,東京都,中央区,20,8
1.首都圏,モノレールSuica,1.首都圏,東京地下鉄,有楽町線,氷川台,東京都,練馬区,20,1.首都圏,東京地下鉄,丸ノ内線（１）,池袋,東京都,豊島区,15,1
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,西船橋,千葉県,船橋市,9,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿,東京都,新宿区,70,1
1.首都圏,Suica,1.首都圏,東京地下鉄,有楽町線,地下鉄赤塚,東京都,練馬区,21,1.首都圏,東京地下鉄,丸ノ内線（１）,新宿三丁目,東京都,新宿区,30,3
1.首都圏,Suica,1.首都圏,東京地下鉄,銀座線,日本橋,東京都,中央区,11,1.首都圏,東京地下鉄,東西線,浦安,千葉県,浦安市,25,9
1.首都圏,Suica,1.首都圏,東京地下鉄,副都心線,西早稲田,東京都,新宿区,14,1.首都圏,東京地下鉄,副都心線,北参道,東京都,渋谷区,15,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,東西線,九段下,東京都,千代田区,22,1.首都圏,東京地下鉄,千代田線,代々木上原,東京都,渋谷区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,日本橋,東京都,中央区,20,1.首都圏,東京地下鉄,銀座線,三越前,東京都,中央区,10,1
1.首都圏,Suica,1.首都圏,東京地下鉄,東西線,中野,東京都,中野区,20,1.首都圏,東京地下鉄,東西線,神楽坂,東京都,新宿区,0,6
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,人形町,東京都,中央区,12,1.首都圏,東京地下鉄,日比谷線,中目黒,東京都,目黒区,35,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,日比谷線,秋葉原,東京都,千代田区,20,1.首都圏,東京地下鉄,日比谷線,三ノ輪,東京都,台東区,15,23
1.首都圏,Suica,1.首都圏,東京地下鉄,日比谷線,広尾,東京都,港区,8,1.首都圏,東京地下鉄,銀座線,溜池山王,東京都,千代田区,20,1
1.首都圏,pasmo,1.首都圏,東京地下鉄,銀座線,三越前,東京都,中央区,10,1.首都圏,東京地下鉄,銀座線,浅草,東京都,台東区,25,2
